广州名匠装饰玉林分公司 ,广西省玉林市民主南路大润发北面8号商铺,13922909685,0775-2333366,
广西南庭艺筑装饰工程设计玉林分公司 ,玉林市玉州区文体路光大东方一品商住小区1栋...,18178561316,2258882,
中宅建筑装饰工程有限责任公司玉林分公司  ,玉林市玉东新区双拥路39号东盛大厦16楼整...,13669697765,2689299,
盛世豪廷装饰设计工程有限公司玉林分公司            ,玉林市一环北路364号（建材市场对面）,4008-659-600,,
广东三星装饰余工设计师楼玉林分公司            ,人民中路凯旋世纪广场A座14楼,4008-659-600,,
华浔品味装饰            ,广西壮族自治区 玉林市 玉州区 东门商业广...,4008-659-600,,
广西玉林市盛泰装饰有限公司            ,玉林市金港路1号滨江公馆10-19号,4008-659-600,,
玉林市唐艺装饰设计工程有限公司            ,玉林市玉州区建安街34号,4008-659-600,,
