扬州浩源装饰有限公司 ,文汇西路现代广场9幢216室,18066026555,89889381,
扬州市雅梵装饰有限公司 ,扬州商城国际大厦1314室,13912132223,80832005,
扬州义保装饰装潢工程有限公司 ,扬州市邗江区西湖镇西湖路17号老 派出所向...,13773404783,400-604-8198,
扬州市港丰装饰有限公司 ,万科城金街80号,18936480575,82129268,
扬州乐业装饰有限公司 ,扬州市邗江区京华城路99号怡景苑北门(二楼...,17505142587,82278568,
扬州市波澜装饰工程有限公司 ,扬州市邗江区文汇西路171号 ，现代广场2...,13952537728,80971780,
扬州市巨荣装饰设计有限公司 ,扬子江北路江阳商贸城欧尚精品家具生活馆,15195573913,5573913,
南京荣庭装饰工程有限公司扬州分公司            ,,4008-659-600,,
雅和装饰公司            ,,4008-659-600,,
仪征曼巴装饰设计有限公司            ,扬州市仪征市西园路18-13,4008-659-600,,
江苏迪赛装饰有限公司            ,扬州市邗江区江阳西路109号峰创国际大厦B...,4008-659-600,,
江苏远景装饰工程有限公司            ,扬州市望月路516号,4008-659-600,,
扬州上达装饰装潢有限公司            ,扬州市望月路459号（月亮圆小区北门步行街...,4008-659-600,,
美颂装饰工程有限公司            ,扬州市刊江路199号,4008-659-600,,
扬州聚通装饰工程有限公司            ,扬州市江阳中路509号（鸿大花园北大门）,4008-659-600,,
扬州蜂巢装饰公司            ,邗江区   京华城路  怡景苑北门向东10...,4008-659-600,,
仪征鼎盛装饰工程公司            ,仪征市万年北路85号,4008-659-600,,
金立方装饰工程有限公司            ,扬子江路中路713号（乐天玛特对面）,4008-659-600,,
