洋泾花园城,本月均价：69556元/平米,所在板块：浦东 洋泾,总户数：980户,绿化率：40%（绿化率高）,停车位：590,物业类型：公寓,竣工时间：1998年,洋泾花园城  [浦东-洋泾- 苗圃路112弄],
沪南船舶小区,本月均价：52990元/平米,所在板块：浦东 金桥,总户数：暂无数据,绿化率：39%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：1996年,沪南船舶小区  [浦东-金桥- 长岛路85弄,长岛路259弄,博兴路250弄],
淮海世纪花苑,本月均价：78416元/平米,所在板块：长宁 新华路,总户数：280户,绿化率：30%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：2002年,淮海世纪花苑  [长宁-新华路- 淮海西路358弄1-5号],
万立城(公寓),本月均价：30147元/平米,所在板块：嘉定 安亭,总户数：暂无数据,绿化率：36%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2001年,万立城(公寓)  [嘉定-安亭- 塔山路452弄,塔山路455弄,塔山路399弄],
金地褐石苑,本月均价：38053元/平米,所在板块：松江 泗泾,总户数：暂无数据,绿化率：40%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2015年,金地褐石苑  [松江-泗泾- 泗凤公路508弄,泗通路198弄,泗宝路298弄],
愚园公馆,本月均价：95842元/平米,所在板块：长宁 中山公园,总户数：181户,绿化率：45%（绿化率高）,停车位：160,物业类型：公寓,竣工时间：2006年,愚园公馆  [长宁-中山公园- 愚园路1155弄],
丰舍东苑,本月均价：44458元/平米,所在板块：浦东 曹路,总户数：750户,绿化率：40%（绿化率高）,停车位：18个地上，42个地下,物业类型：公寓,竣工时间：2005年,丰舍东苑  [浦东-曹路- 民春路516弄],
上海望族城,本月均价：59431元/平米,所在板块：徐汇 龙华,总户数：600户,绿化率：30%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：1997年,上海望族城  [徐汇-龙华- 漕溪路251弄],
青厦小区,本月均价：37898元/平米,所在板块：浦东 川沙,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：1994年,青厦小区  [浦东-川沙- 妙境路162弄,妙境路124弄],
梦丹苑,本月均价：29529元/平米,所在板块：青浦 青浦新城,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2002年,梦丹苑  [青浦-青浦新城- 沪青平公路4625弄,青湖路904弄],
紫勋雍邸,本月均价：120202元/平米,所在板块：黄浦 复兴公园,总户数：68户,绿化率：35%（绿化率高）,停车位：83,物业类型：公寓,竣工时间：2006年,紫勋雍邸  [黄浦-复兴公园- 巨鹿路153弄],
联农大厦,本月均价：53762元/平米,所在板块：普陀 曹杨,总户数：176户,绿化率：25%（绿化率适中）,停车位：30,物业类型：公寓,竣工时间：1995年,联农大厦  [普陀-曹杨- 曹杨路859弄5号],
望族新城,本月均价：67365元/平米,所在板块：闵行 古美,总户数：1500户,绿化率：40%（绿化率高）,停车位：300,物业类型：公寓,竣工时间：2003年,望族新城  [闵行-古美- 古美路675弄],
申江豪城,本月均价：62867元/平米,所在板块：浦东 杨思,总户数：1478户,绿化率：45%（绿化率高）,停车位：800,物业类型：公寓,竣工时间：2003年,申江豪城  [浦东-杨思- 杨思路855弄],
碧云新天地家园(一期),本月均价：65602元/平米,所在板块：浦东 金桥,总户数：暂无数据,绿化率：36%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2002年,碧云新天地家园(一期)  [浦东-金桥- 长岛路823弄,长岛路825弄],
大学里,本月均价：26902元/平米,所在板块：嘉定 安亭,总户数：暂无数据,绿化率：41%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2016年,大学里  [嘉定-安亭- 杭桂路1199弄,绿苑路609弄],
市光二村,本月均价：49757元/平米,所在板块：杨浦 中原,总户数：620户,绿化率：40%（绿化率高）,停车位：50,物业类型：公寓,竣工时间：1987年,市光二村  [杨浦-中原- 包头路430号],
今达花园,本月均价：62218元/平米,所在板块：浦东 金桥,总户数：350户,绿化率：48%（绿化率高）,停车位：100,物业类型：公寓,竣工时间：2001年,今达花园  [浦东-金桥- 金桥路989弄],
场中小区,本月均价：49306元/平米,所在板块：静安 彭浦,总户数：暂无数据,绿化率：38%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：1996年,场中小区  [静安-彭浦- 场中路2187弄,场中路2107弄,场中路2155弄,场中路2131弄],
怡桂苑,本月均价：70540元/平米,所在板块：徐汇 田林,总户数：418户,绿化率：35%（绿化率高）,停车位：90,物业类型：公寓,竣工时间：2000年,怡桂苑  [徐汇-田林- 桂林路505弄],
控江一村,本月均价：76612元/平米,所在板块：杨浦 黄兴公园,总户数：632户,绿化率：30%（绿化率高）,停车位：50,物业类型：公寓,竣工时间：1999年,控江一村  [杨浦-黄兴公园- 控江一村],
中山公寓,本月均价：76590元/平米,所在板块：长宁 中山公园,总户数：480户,绿化率：40%（绿化率高）,停车位：300,物业类型：公寓,竣工时间：2002年,中山公寓  [长宁-中山公园- 长宁路1277弄],
大桥花苑,本月均价：51260元/平米,所在板块：浦东 金杨,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：150,物业类型：公寓,竣工时间：2000年,大桥花苑  [浦东-金杨- 居家桥路151弄],
海琪园,本月均价：95392元/平米,所在板块：黄浦 黄浦滨江,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2003年,海琪园  [黄浦-黄浦滨江- 中山南路398弄],
唐欣苑,本月均价：32000元/平米,所在板块：浦东 唐镇,总户数：320户,绿化率：35%（绿化率高）,停车位：110,物业类型：公寓,竣工时间：2004年,唐欣苑  [浦东-唐镇- 唐兴路436弄],
金虹桥井亭苑,本月均价：59039元/平米,所在板块：闵行 龙柏金汇,总户数：560户,绿化率：35%（绿化率高）,停车位：120,物业类型：公寓,竣工时间：2003年,金虹桥井亭苑  [闵行-龙柏金汇- 虹莘路3799弄],
金外滩花园,本月均价：95754元/平米,所在板块：黄浦 豫园,总户数：611户,绿化率：50%（绿化率高）,停车位：425,物业类型：公寓,竣工时间：2006年,金外滩花园  [黄浦-豫园- 中山南路200弄],
莲花公寓,本月均价：54265元/平米,所在板块：闵行 古美,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：2000年,莲花公寓  [闵行-古美- 莲花路425弄,莲花路325弄],
金露苑,本月均价：70816元/平米,所在板块：浦东 源深,总户数：31200户,绿化率：38%（绿化率高）,停车位：24,物业类型：公寓,竣工时间：2000年,金露苑  [浦东-源深- 张杨路1667弄1-11号],
东天乐,本月均价：12044元/平米,所在板块：松江 泖港,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：暂无数据,东天乐  [松江-泖港- 新旭路80弄12-23号],
巨峰家苑,本月均价：56562元/平米,所在板块：浦东 金桥,总户数：300户,绿化率：35%（绿化率高）,停车位：200多个,物业类型：公寓,竣工时间：2005年,巨峰家苑  [浦东-金桥- 巨峰路758弄],
凯欣豪园,本月均价：97438元/平米,所在板块：长宁 中山公园,总户数：1465户,绿化率：30%（绿化率高）,停车位：500,物业类型：公寓,竣工时间：2008年,凯欣豪园  [长宁-中山公园- 汇川路88弄],
金诚花园,本月均价：91710元/平米,所在板块：徐汇 徐家汇,总户数：176户,绿化率：50%（绿化率高）,停车位：80,物业类型：公寓,竣工时间：2006年,金诚花园  [徐汇-徐家汇- 中山西路2099弄],
花苑村玉兰园,本月均价：56554元/平米,所在板块：徐汇 康健,总户数：700户,绿化率：30%（绿化率高）,停车位：180,物业类型：公寓,竣工时间：1989年,花苑村玉兰园  [徐汇-康健- 桂江路77弄1-62号],
滨江小区,本月均价：52050元/平米,所在板块：徐汇 徐汇滨江,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：1998年,滨江小区  [徐汇-徐汇滨江- 天钥桥南路1199弄,天钥桥南路1249弄],
广洋苑,本月均价：76862元/平米,所在板块：浦东 金杨,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：2000年,广洋苑  [浦东-金杨- 张杨路3083弄,居家桥路699弄],
古北嘉年华庭(南区),本月均价：92444元/平米,所在板块：长宁 古北,总户数：700户,绿化率：53%（绿化率高）,停车位：380,物业类型：公寓,竣工时间：2004年,古北嘉年华庭(南区)  [长宁-古北- 黄金城道259弄],
汇龙新城,本月均价：96772元/平米,所在板块：黄浦 五里桥,总户数：1144户,绿化率：36%（绿化率高）,停车位：372,物业类型：公寓,竣工时间：2002年,汇龙新城  [黄浦-五里桥- 徐家汇路515弄1-16号],
香泉小区,本月均价：57187元/平米,所在板块：普陀 万里,总户数：5000户,绿化率：42%（绿化率高）,停车位：2000,物业类型：公寓,竣工时间：1999年,香泉小区  [普陀-万里- 香泉路85弄],
芳佳苑,本月均价：55667元/平米,所在板块：浦东 花木,总户数：600户,绿化率：35%（绿化率高）,停车位：100,物业类型：公寓,竣工时间：2000年,芳佳苑  [浦东-花木- 芳佳苑|芳草路36弄],
大华颐和华城,本月均价：63579元/平米,所在板块：普陀 万里,总户数：暂无数据,绿化率：45%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2015年,大华颐和华城  [普陀-万里- 真金路577弄,武威东路479弄,武威东路477弄,武威东路478弄1-31号],
曹杨二村,本月均价：60001元/平米,所在板块：普陀 曹杨,总户数：800户,绿化率：30%（绿化率高）,停车位：100,物业类型：公寓,竣工时间：1992年,曹杨二村  [普陀-曹杨- 曹杨路1107弄],
海尚佳园,本月均价：71367元/平米,所在板块：杨浦 杨浦大桥,总户数：510户,绿化率：35%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：2006年,海尚佳园  [杨浦-杨浦大桥- 长阳路1658弄],
蒲汇别墅,本月均价：60757元/平米,所在板块：闵行 七宝,总户数：268户,绿化率：40%（绿化率高）,停车位：130,物业类型：别墅,竣工时间：1993年,蒲汇别墅  [闵行-七宝- 新镇路1258弄],
皇朝别墅,本月均价：68773元/平米,所在板块：长宁 西郊,总户数：320户,绿化率：42%（绿化率高）,停车位：免费,物业类型：别墅,竣工时间：2009年,皇朝别墅  [长宁-西郊- 虹桥路2388号],
虹桥新天地,本月均价：29832元/平米,所在板块：长宁 西郊,总户数：560户,绿化率：40%（绿化率高）,停车位：130,物业类型：公寓,竣工时间：2004年,虹桥新天地  [长宁-西郊- 虹梅路3721号],
宜仕怡家,本月均价：86724元/平米,所在板块：徐汇 龙华,总户数：471户,绿化率：52%（绿化率高）,停车位：118,物业类型：公寓,竣工时间：2002年,宜仕怡家  [徐汇-龙华- 龙华西路591弄],
上海滩花园,本月均价：114087元/平米,所在板块：黄浦 黄浦滨江,总户数：642户,绿化率：40%（绿化率高）,停车位：370,物业类型：公寓,竣工时间：2006年,上海滩花园  [黄浦-黄浦滨江- 紫霞路199弄],
恒城花苑,本月均价：55872元/平米,所在板块：虹口 鲁迅公园,总户数：384户,绿化率：30%（绿化率高）,停车位：30,物业类型：公寓,竣工时间：1997年,恒城花苑  [虹口-鲁迅公园- 四平路311号],
紫阳花苑,本月均价：42996元/平米,所在板块：徐汇 华泾,总户数：1500户,绿化率：40%（绿化率高）,停车位：260,物业类型：公寓,竣工时间：2002年,紫阳花苑  [徐汇-华泾- 龙吟路452弄1-22号],
亚都国际名园,本月均价：88467元/平米,所在板块：徐汇 徐家汇,总户数：1056户,绿化率：35%（绿化率高）,停车位：900,物业类型：公寓,竣工时间：2003年,亚都国际名园  [徐汇-徐家汇- 南丹东路300弄],
九歌花园,本月均价：62077元/平米,所在板块：闵行 静安新城,总户数：暂无数据,绿化率：52%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2008年,九歌花园  [闵行-静安新城- 漕宝路1467弄7区1-48号,漕宝路1467弄7区50-62号],
招远小区,本月均价：68012元/平米,所在板块：浦东 陆家嘴,总户数：690户,绿化率：30%（绿化率高）,停车位：250,物业类型：公寓,竣工时间：1992年,招远小区  [浦东-陆家嘴- 招远路19弄],
怒江苑,本月均价：60666元/平米,所在板块：普陀 长风,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：暂无数据,怒江苑  [普陀-长风- 怒江路658弄,梅川路255弄],
南天大楼,本月均价：82446元/平米,所在板块：徐汇 徐家汇,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：1995年,南天大楼  [徐汇-徐家汇- 天钥桥路191弄1-4号],
颐景园,本月均价：36248元/平米,所在板块：浦东 惠南,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2016年,颐景园  [浦东-惠南- 听锦路36弄,听锦路35弄,拱泰路29弄],
金汇豪庭,本月均价：59906元/平米,所在板块：闵行 古美,总户数：536户,绿化率：50%（绿化率高）,停车位：627,物业类型：公寓,竣工时间：2006年,金汇豪庭  [闵行-古美- 龙茗路2121弄],
沔溪苑,本月均价：34880元/平米,所在板块：浦东 康桥,总户数：489户,绿化率：48%（绿化率高）,停车位：107,物业类型：公寓,竣工时间：2004年,沔溪苑  [浦东-康桥- 川周公路2828弄],
恒地苑,本月均价：62036元/平米,所在板块：徐汇 龙华,总户数：856户,绿化率：35%（绿化率高）,停车位：220,物业类型：公寓,竣工时间：2004年,恒地苑  [徐汇-龙华- 龙恒路280弄1-19号],
华府天地,本月均价：162439元/平米,所在板块：黄浦 新天地,总户数：108户,绿化率：35%（绿化率高）,停车位：484,物业类型：公寓,竣工时间：2006年,华府天地  [黄浦-新天地- 马当路222弄],
阳光二村,本月均价：58985元/平米,所在板块：浦东 洋泾,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：1994年,阳光二村  [浦东-洋泾- 阳光二村1-20号，23-26号],
半岛花园,本月均价：69616元/平米,所在板块：普陀 长寿,总户数：800户,绿化率：30%（绿化率高）,停车位：500,物业类型：公寓,竣工时间：2003年,半岛花园  [普陀-长寿- 西康路1518弄],
春港丽园,本月均价：50243元/平米,所在板块：浦东 张江,总户数：1200户,绿化率：40%（绿化率高）,停车位：248,物业类型：公寓,竣工时间：2001年,春港丽园  [浦东-张江- 益丰路55弄],
瀚林府邸,本月均价：102954元/平米,所在板块：静安 曹家渡,总户数：800户,绿化率：35%（绿化率高）,停车位：400,物业类型：公寓,竣工时间：2005年,瀚林府邸  [静安-曹家渡- 武定路1128弄],
路劲上海派,本月均价：30000元/平米,所在板块：嘉定 安亭,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2015年,路劲上海派  [嘉定-安亭- 荣轩路60弄,双浦路70弄],
绿缘公寓,本月均价：73945元/平米,所在板块：浦东 世纪公园,总户数：900户,绿化率：45%（绿化率高）,停车位：200,物业类型：公寓,竣工时间：2000年,绿缘公寓  [浦东-世纪公园- 花木路718弄],
阳光苑,本月均价：37018元/平米,所在板块：浦东 曹路,总户数：暂无数据,绿化率：35%（绿化率高）,停车位：暂无数据,物业类型：公寓,竣工时间：2003年,阳光苑  [浦东-曹路- 民同路176弄,民耀路97弄,民同路40弄,民耀路98弄,民同路10弄,民耀路268弄,民耀路358弄],
滨江名人苑,本月均价：89419元/平米,所在板块：黄浦 豫园,总户数：558户,绿化率：40%（绿化率高）,停车位：367,物业类型：公寓,竣工时间：2004年,滨江名人苑  [黄浦-豫园- 中华路88弄],
山水世纪,本月均价：43673元/平米,所在板块：闵行 马桥,总户数：暂无数据,绿化率：0%（绿化率适中）,停车位：暂无数据,物业类型：别墅,竣工时间：2004年,山水世纪  [闵行-马桥- 曙光路1758弄,曙光路1688弄],
梅四小区,本月均价：59786元/平米,所在板块：普陀 长风,总户数：560户,绿化率：39%（绿化率高）,停车位：80,物业类型：公寓,竣工时间：1994年,梅四小区  [普陀-长风- 武宁路2525弄],
掬水轩,本月均价：61401元/平米,所在板块：虹口 广中路,总户数：255户,绿化率：30%（绿化率高）,停车位：80,物业类型：公寓,竣工时间：2003年,掬水轩  [虹口-广中路- 同心路765弄],
佘北家园茗雅苑,本月均价：20000元/平米,所在板块：松江 佘山,总户数：暂无数据,绿化率：27%（绿化率适中）,停车位：暂无数据,物业类型：公寓,竣工时间：2017年,佘北家园茗雅苑  [松江-佘山- 青城山路180弄],
